"","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA"
"Alabama",25.2931822699265,9648.35311992995,3082.32082614406,721.71203419948,12865.4322577322,11180.5310190312,3319.61577090469,12612.4591177152,10890.2680847776,3411.58352862404,26447.7350570421,22716.3245860266,6283.68056449744,15695.6452319023,12597.337179058,3320.02781282996
"Louisiana",26.0359595636824,9836.96583393304,3221.98091223741,730.419622357013,14362.9416401083,12495.5022103423,3800.9963674994,12381.172680854,10688.6330146328,3126.99187827696,25551.1934135225,21871.6802028717,5641.89883828519,13999.0062026661,11027.0167232103,2809.51218258456
"Kentucky",31.8366376123307,9621.61419388055,3351.00645005855,721.441952750196,12690.4263448244,11485.5746640778,3486.00136825588,12734.9500328955,11304.1123841169,3469.16372987365,26887.9682304275,23109.7603834552,5944.83899262557,15235.8704527923,11615.8008014716,2834.12485300968
"Oregon",35.3205251134023,9028.49799509719,2725.81308014592,876.303286211864,13748.0824343282,12515.8958553747,4718.01907949891,13103.6760112845,11640.1640496999,4826.67492248985,26437.1368924479,23833.1734016062,8067.81436523172,16393.4906876004,14746.3098507839,4791.19343522914
"Oklahoma",39.0036839833339,10041.8844790954,3255.27318067653,762.345633198837,13716.3607439601,12188.7775393137,3477.90124107658,12268.5489687041,10770.0898855355,3266.40586331523,24734.8758027688,21744.9187621276,6047.65709494822,14742.0007196576,12449.2311283115,3331.33371585402
"Connecticut",15.08245229257,9842.94493588081,2721.68336248476,1450.65318726933,12351.7252345365,11390.0907460255,5403.58688102033,12065.1764568043,11088.4780722676,5043.64345431874,28848.8951748109,26502.8607454397,11062.3394230528,15769.1932167834,13295.2272556092,4937.16402630045
"Iowa",41.051335276958,10270.4134565152,2679.27867963999,1019.47567534498,12580.1530238498,11721.7281118464,4216.62801085331,11789.2169659356,10887.4544081881,3959.19662959317,26026.3222546338,24167.7362278055,6484.27913287553,16052.2896082219,14172.4992048359,3167.94026387597
"Utah",30.3294281156229,11423.5720075222,3540.48910063157,780.972048717462,14729.5287417509,13592.110296419,4615.41239443703,13450.5348702214,12278.5417931728,4505.50251585618,19773.245253846,18071.1301156411,6352.36966634477,10293.543304559,9364.10765349933,3075.03564463966
"Mississippi",31.4069160795157,10436.5439102961,3014.36078932491,644.111340440692,12508.2709181472,10939.3555206915,2890.89078373849,12895.1725937399,11133.6091978631,2867.47463529349,25154.5633055573,21125.3131909854,4947.96597299115,14750.8689063655,11312.1071522953,2895.07223881795
"Arkansas",42.5304950146931,9551.88184238779,3027.44964241015,687.542333352251,12941.9081465741,11471.8557296146,3124.16361721012,12341.0725781293,10843.5842870686,3095.65314338888,25414.7870966095,21854.3024118383,5339.88749612556,16055.6615789967,12842.7427411628,2993.76765743641
"Nevada",21.1220322864379,8812.21655908714,3079.17654671439,442.512859955655,14283.7921906068,12464.4994482893,3071.54761252505,13458.896342897,11304.6587126936,3351.00934267022,25869.819866993,22076.5057262086,6011.39207936311,14637.566675151,12578.309275605,3645.10475566951
