"NAME","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL","pop2015.100k","pop2016.100k"
"New Hampshire",33.6062178269332,319.747750375721,701.069309253137,911.202147790673,240.13033498708,36.2375771646126,2241.99333739816,1330111,1334795,37.215452560131,13.30111,13.34795
"New Jersey",4.7675425701822,477.582421690036,86.5096339612873,12.6462983669152,12.8029781696912,28.7395523949011,623.048427153013,8935421,8944469,3.68663584165812,89.35421,89.44469
"New Mexico",14.5169415592157,3806.13057171754,184.92276217981,296.059082990759,99.9842332555251,32.8313612084248,4434.44495291127,2080328,2081015,33.200946012723,20.80328,20.81015
"Nevada",28.1577025534043,1222.39799594834,358.42119900491,517.657861720713,190.862062628001,33.0818328028912,2350.57865465826,2883758,2940058,21.1220322864379,28.83758,29.40058
"New York",8.26446992464697,207.9030715419,61.8316040318257,17.5518705630064,23.2640777168065,37.7218360715045,356.53692984969,19747183,19745289,8.41339926703529,197.47183,197.45289
"Ohio",16.1308529274655,677.625076582775,171.924560688457,264.659731204153,52.881968170863,51.0120990013865,1234.2342885751,11605090,11614373,21.2610128272386,116.0509,116.14373
"Oklahoma",29.9174850681295,411.704518640717,233.81192778651,823.869700011312,97.3533902473605,42.8672262524524,1639.52424800648,3907414,3923561,39.0036839833339,39.07414,39.23561
"Oregon",38.4879718255126,517.43835588528,159.393375894553,435.741486058111,103.313742317935,35.7548040393238,1290.12973602072,4024634,4093465,35.3205251134023,40.24634,40.93465
"Pennsylvania",16.5338951887069,1190.29973958529,140.628009716145,232.50643532034,60.8119010273998,100.336900589623,1741.1168814275,12791904,12784227,19.9679652121321,127.91904,127.84227
"Rhode Island",3.8840212313863,301.911601571418,60.5338918745328,2.74723452951714,11.2731347935359,10.7047414426013,391.054625442992,1055607,1056426,8.57450813718456,10.55607,10.56426
"South Carolina",13.8513379616142,681.637007506281,169.607386072745,479.096941796188,71.4018085189406,80.1252912764764,1495.71977313225,4894834,4961119,22.4310953503299,48.94834,49.61119
"South Dakota",41.02951444134,438.38637447125,200.252005142677,853.227402586958,63.7589329528778,22.6128573909658,1619.26708698607,857919,865454,59.6411440315334,8.57919,8.65454
"Tennessee",24.2454347620399,613.580839950411,210.081612650446,299.254471834659,82.4557062138669,91.1288698685803,1320.74693528,6595056,6651194,23.0873333920697,65.95056,66.51194
"Texas",24.5719602799001,818.450436041101,127.045055168243,603.358286997507,107.580708590441,27.2952917827318,1708.30173885992,27429639,27862596,22.7174333169338,274.29639,278.62596
"Utah",15.2141754652528,538.916188952703,223.999475696107,870.68552734004,124.555612325422,44.5390807026742,1817.9100604822,2990632,3051217,30.3294281156229,29.90632,30.51217
"Virginia",34.1078019266486,2315.21942944842,396.757153525861,372.927105508434,151.357852628243,92.0815045006404,3362.45084753824,8367587,8411808,20.3880069540341,83.67587,84.11808
"Vermont",35.6179961922286,406.971543936316,179.208034653276,64.6873921876797,47.1179770255938,20.7638542824651,754.366798277558,626088,624594,49.6856091050079,6.26088,6.24594
"Washington",25.9067719324217,604.542553444064,59.0618536400062,304.415044642047,55.4027839654539,11.4799819560381,1060.80898958003,7160290,7288000,16.4962952799122,71.6029,72.88
"Wisconsin",13.1763932432149,521.78517243131,126.424025696741,193.41558292277,54.9420923523,21.2209280653882,930.964194711724,5767891,5778708,27.2191754050675,57.67891,57.78708
"West Virginia",24.2252667359386,919.473801134459,367.941607330153,272.67004263321,73.2732843649803,55.5660266162897,1713.15002881503,1841053,1831102,48.8594664123936,18.41053,18.31102
"Wyoming",51.6575598196248,20611.7073420225,302.443931089156,638.303313414769,115.078722370451,66.8309024729139,21786.0217711894,586555,585501,104.725127141827,5.86555,5.85501
