"NAME","total.workers","total.drove.alone","total.carpool","total.public.transportation","agriculture.total","agriculture.drove.alone","agriculture.carpool","agriculture.public","construction.total","construction.drove.alone","construction.carpool","construction.public","manufacturing.total","manufacturing.drove.alone","manufacturing.carpool","manufacturing.public","wholesale.total","wholesale.drove.alone","wholesale.carpool","wholesale.public","retail.total","retail.drove.alone","retail.carpool","retail.public","transportation.total","transportation.drove.alone","transportation.carpool","transportation.public","info.finance.total","info.finance.drove.alone","info.finance.carpool","info.finance.public","science.total","science.drove.alone","science.carpool","science.public","education.total","education.drove.alone","education.carpool","education.public","arts.total","arts.drove.alone","arts.carpool","arts.public","other.total","other.drove.alone","other.carpool","other.public","public.admin.total","public.admin.drove.alone","public.admin.carpool","public.admin.public","armed.forces.total","armed.forces.drove.alone","armed.forces.carpool","armed.forces.public"
"Hawaii",704914,475067,95464,49270,1.3,1,2,0.4,7.4,8.5,6.7,2.3,2.8,2.7,2.8,3.1,2.5,2.6,2.4,1.5,10.8,11,9.8,14.4,5.4,6.2,5.1,2.7,8,7.8,8.1,8.5,9.3,8.2,10.6,11.2,18.3,18.4,21.7,16.8,15,13.3,14.2,30.2,4.6,4.1,4.5,3.6,8.5,9.8,8.1,5.3,6.2,6.3,4,0
"Idaho",734911,566332,79038,5905,5.1,4.4,8.2,1.8,6.5,6.3,8.9,4.2,9.5,9.8,10.6,2.9,2.8,2.9,1.9,0,11.9,12.7,9.5,8.7,4.8,4.8,4.4,4.1,6.8,6.8,5.8,0.6,9.9,9.1,10.5,25.2,23.1,23.5,22.6,17.1,9.4,9.1,9,20.3,4.7,4.8,4.2,1.7,4.7,5.1,3.8,13.4,0.7,0.8,0.5,0
"Illinois",6094828,4485040,482647,566654,1.1,1.1,0.9,0.1,5.3,5.5,8.6,2.1,12.3,13.5,16.2,5.5,3.2,3.4,2.8,1.8,11,11.5,10.6,9.3,6,6.6,4.8,4.3,9.3,8.3,6.2,16.9,11.7,9.4,11.2,22.9,22.4,23.5,20.8,17.1,9.1,8.5,10.3,12.3,4.6,4.6,4.7,4,3.7,3.9,2.8,3.6,0.3,0.2,0.1,0.1
"Indiana",3063590,2545272,264220,33240,1.5,1.2,1.3,0.2,5.9,5.7,9,4.6,19,19.5,22.7,9.2,2.7,2.8,2,0.3,11.5,11.6,11.1,12.2,5,5.3,4.3,4,7,7.1,4.2,6.2,8.3,7.8,7.8,13.3,22.2,22.7,18.7,26.3,8.9,8.3,11.5,16.5,4.5,4.3,4.5,5.9,3.3,3.5,2.8,1.4,0.1,0.1,0.2,0
"Iowa",1574828,1274961,135819,21648,3.8,3,2.7,0.7,6.3,6.2,9.8,3,15.8,16.3,21.3,5.2,2.7,2.8,2.8,1,11.6,12.1,10.1,9.9,4.6,4.9,3.8,1.1,9.1,9.3,8.7,8.2,7.1,6.9,6.5,10.6,24.1,23.7,22.4,40.2,7.6,7.3,7.3,16.5,4.1,4.1,2.5,2.9,3,3.3,2,0.6,0.1,0.1,0.1,0
"Kansas",1413917,1168154,125499,8983,3.4,2.9,3,0.4,6.5,6.3,9.6,2.2,12,12.3,14.7,7.9,2.8,3.1,1.8,1,11,11.3,10.8,7,4.5,4.6,4,2.3,8.3,8.6,4.9,3.6,9.3,8.8,8.5,15.8,24,24.3,22.7,32.3,8,7.5,11.5,14,4.5,4.5,4.2,6.1,4.2,4.5,3.7,3.1,1.4,1.3,0.6,4.1
"Kentucky",1898550,1559409,184672,21727,2.5,2.1,3.6,1.5,5.7,5.4,9.9,3.3,14.2,14.7,14.5,14.8,2.4,2.5,1.4,0.5,12.2,12.3,12.4,8.9,5.9,6.2,4.9,6,6.9,7,4.7,7.5,7.8,7.4,8.2,8.2,23.4,24,21,20.4,9.1,8.5,10.9,21.6,4.8,4.6,4.4,4.7,4.4,4.7,3.4,2.4,0.7,0.6,0.6,0.2
"Louisiana",2014335,1667940,181268,29758,4.1,4,4.2,1,7.8,7.3,14.4,4.6,7.8,8.2,6.6,3.4,2.5,2.6,1.7,0.5,11.4,11.5,11.1,11.2,5.1,5.2,3.6,2.8,6.7,7,4.2,4,9.1,8.7,8.7,8.7,23.3,24.3,20.7,19.2,10.7,9.5,14.7,35.3,5.3,5.1,5.6,4.9,5.4,5.9,4.1,4.3,0.7,0.8,0.5,0
"Maine",636271,506801,55341,4045,2.6,2,3.9,1.9,7.2,7.1,9.8,1.6,9.4,9.7,10.9,4.5,2.1,2.1,3,0,13.1,13.8,11.6,6.7,3.8,4.1,1.9,3.8,8.2,8.1,5.4,4.4,8.4,7.5,7.4,14.9,27.7,28.6,26.6,24.4,8.7,7.7,13.4,34.4,4.5,4.4,2.7,1.5,4,4.5,2.9,2,0.3,0.3,0.4,0
"Maryland",3001281,2214171,265758,271533,0.5,0.4,0.5,0.2,6.7,6.6,12.4,3.6,4.6,5.1,4.1,1.8,2,2.1,1.8,0.9,9.8,9.8,8.9,10.6,4.5,4.8,3.7,3.7,8,8.2,5.3,6.4,15.4,14.5,15.3,18.6,22.8,24.1,20.6,18.1,8.7,7.6,12.4,12.3,5.3,5,5.8,5.8,10.7,10.8,8.8,17.7,1,1,0.4,0.3
